host_time_s,t_s,left_ticks,right_ticks,left_rad_s,right_rad_s,battery_v,range_m,flags,left_cmd,right_cmd
0.0200,0.020,0,0,0.000,0.000,12.240,,0,,
0.0400,0.040,0,0,0.000,0.000,12.240,,0,,
0.0600,0.060,0,0,0.000,0.000,12.240,,0,,
0.0800,0.080,0,0,0.000,0.000,12.240,,0,,
0.1000,0.100,0,0,0.000,0.000,12.240,,0,,
0.1200,0.120,0,0,0.000,0.000,12.240,,0,,
0.1400,0.140,0,0,0.000,0.000,12.240,,0,,
0.1600,0.160,0,0,0.000,0.000,12.240,,0,,
0.1800,0.180,0,0,0.000,0.000,12.240,,0,,
0.2000,0.200,0,0,0.000,0.000,12.240,,0,,
0.2200,0.220,0,0,0.000,0.000,12.240,,0,,
0.2400,0.240,0,0,0.000,0.000,12.240,,0,,
0.2600,0.260,0,0,0.000,0.000,12.240,,0,,
0.2800,0.280,0,0,0.000,0.000,12.240,,0,,
0.3000,0.300,0,0,0.000,0.000,12.240,,0,,
0.3200,0.320,0,0,0.000,0.000,12.240,,1,,
0.3400,0.340,0,0,0.000,0.000,12.240,,1,,
0.3600,0.360,0,0,0.000,0.000,12.240,,1,,
0.3800,0.380,0,0,0.000,0.000,12.240,,1,,
0.4000,0.400,0,0,0.000,0.000,12.240,,1,,
0.4200,0.420,0,0,0.000,0.000,12.240,,1,,
0.4400,0.440,0,0,0.000,0.000,12.240,,1,,
0.4600,0.460,0,0,0.000,0.000,12.240,,1,,
0.4800,0.480,0,0,0.000,0.000,12.240,,1,,
0.5000,0.500,0,0,0.000,0.000,12.240,,1,,
0.5200,0.520,0,0,0.000,0.000,12.240,,1,,
0.5400,0.540,0,0,0.000,0.000,12.240,,1,,
0.5600,0.560,0,0,0.000,0.000,12.240,,1,,
0.5800,0.580,0,0,0.000,0.000,12.240,,1,,
0.6000,0.600,0,0,0.000,0.000,12.240,,1,,
0.6200,0.620,11,11,0.701,0.701,12.240,,8,8.0,8.0
0.6400,0.640,45,45,2.518,2.518,12.240,,8,8.0,8.0
0.6600,0.660,95,95,4.447,4.447,12.240,,8,8.0,8.0
0.6800,0.680,159,159,6.303,6.303,12.240,,8,8.0,8.0
0.7000,0.700,232,232,7.805,7.805,12.240,,8,8.0,8.0
0.7200,0.720,312,312,9.003,9.003,12.240,,8,8.0,8.0
0.7400,0.740,395,395,9.793,9.793,12.240,,8,8.0,8.0
0.7600,0.760,480,480,10.315,10.315,12.240,,8,8.0,8.0
0.7800,0.780,565,565,10.576,10.576,12.240,,8,8.0,8.0
0.8000,0.800,650,650,10.707,10.707,12.240,,8,8.0,8.0
0.8200,0.820,734,734,10.708,10.708,12.240,,8,8.0,8.0
0.8400,0.840,816,816,10.582,10.582,12.240,,8,8.0,8.0
0.8600,0.860,896,896,10.391,10.391,12.240,,8,8.0,8.0
0.8800,0.880,975,975,10.232,10.232,12.240,,8,8.0,8.0
0.9000,0.900,1052,1052,10.025,10.025,12.240,,8,8.0,8.0
0.9200,0.920,1127,1127,9.794,9.794,12.240,,8,8.0,8.0
0.9400,0.940,1200,1200,9.551,9.551,12.240,,8,8.0,8.0
0.9600,0.960,1272,1272,9.365,9.365,12.240,,8,8.0,8.0
0.9800,0.980,1343,1343,9.209,9.209,12.240,,8,8.0,8.0
1.0000,1.000,1412,1412,9.003,9.003,12.240,,8,8.0,8.0
1.0200,1.020,1481,1481,8.900,8.900,12.240,,8,8.0,8.0
1.0400,1.040,1548,1548,8.721,8.721,12.240,,8,8.0,8.0
1.0600,1.060,1615,1615,8.632,8.632,12.240,,8,8.0,8.0
1.0800,1.080,1681,1681,8.523,8.523,12.240,,8,8.0,8.0
1.1000,1.100,1746,1746,8.405,8.405,12.240,,8,8.0,8.0
1.1200,1.120,1811,1811,8.346,8.346,12.240,,8,8.0,8.0
1.1400,1.140,1876,1876,8.317,8.317,12.240,,8,8.0,8.0
1.1600,1.160,1940,1940,8.238,8.238,12.240,,8,8.0,8.0
1.1800,1.180,2004,2004,8.199,8.199,12.240,,8,8.0,8.0
1.2000,1.200,2068,2068,8.180,8.180,12.240,,8,8.0,8.0
1.2200,1.220,2131,2131,8.106,8.106,12.240,,8,8.0,8.0
1.2400,1.240,2195,2195,8.133,8.133,12.240,,8,8.0,8.0
1.2600,1.260,2258,2258,8.083,8.083,12.240,,8,8.0,8.0
1.2800,1.280,2321,2321,8.058,8.058,12.240,,8,8.0,8.0
1.3000,1.300,2384,2384,8.045,8.045,12.240,,8,8.0,8.0
1.3200,1.320,2447,2447,8.039,8.039,12.240,,8,8.0,8.0
1.3400,1.340,2510,2510,8.036,8.036,12.240,,8,8.0,8.0
1.3600,1.360,2573,2573,8.034,8.034,12.240,,8,8.0,8.0
1.3800,1.380,2636,2636,8.033,8.033,12.240,,8,8.0,8.0
1.4000,1.400,2699,2699,8.033,8.033,12.240,,8,8.0,8.0
1.4200,1.420,2761,2761,7.969,7.969,12.240,,8,8.0,8.0
1.4400,1.440,2824,2824,8.001,8.001,12.240,,8,8.0,8.0
1.4600,1.460,2887,2887,8.017,8.017,12.240,,8,8.0,8.0
1.4800,1.480,2950,2950,8.025,8.025,12.240,,8,8.0,8.0
1.5000,1.500,3013,3013,8.029,8.029,12.240,,8,8.0,8.0
1.5200,1.520,3075,3075,7.967,7.967,12.240,,8,8.0,8.0
1.5400,1.540,3138,3138,8.000,8.000,12.240,,8,8.0,8.0
1.5600,1.560,3201,3201,8.016,8.016,12.239,,8,8.0,8.0
1.5800,1.580,3264,3264,8.024,8.024,12.239,,8,8.0,8.0
1.6000,1.600,3326,3326,7.965,7.965,12.239,,8,8.0,8.0
1.6200,1.620,3389,3389,7.999,7.999,12.239,,8,8.0,8.0
1.6400,1.640,3452,3452,8.016,8.016,12.239,,8,8.0,8.0
1.6600,1.660,3515,3515,8.024,8.024,12.239,,8,8.0,8.0
1.6800,1.680,3577,3577,7.964,7.964,12.239,,8,8.0,8.0
1.7000,1.700,3640,3640,7.998,7.998,12.239,,8,8.0,8.0
1.7200,1.720,3703,3703,8.015,8.015,12.239,,8,8.0,8.0
1.7400,1.740,3766,3766,8.024,8.024,12.239,,8,8.0,8.0
1.7600,1.760,3828,3828,7.964,7.964,12.239,,8,8.0,8.0
1.7800,1.780,3891,3891,7.998,7.998,12.239,,8,8.0,8.0
1.8000,1.800,3954,3954,8.015,8.015,12.239,,8,8.0,8.0
1.8200,1.820,4017,4017,8.024,8.024,12.239,,8,8.0,8.0
1.8400,1.840,4079,4079,7.964,7.964,12.239,,8,8.0,8.0
1.8600,1.860,4142,4142,7.998,7.998,12.239,,8,8.0,8.0
1.8800,1.880,4205,4205,8.015,8.015,12.239,,8,8.0,8.0
1.9000,1.900,4268,4268,8.024,8.024,12.239,,8,8.0,8.0
1.9200,1.920,4330,4330,7.964,7.964,12.239,,8,8.0,8.0
1.9400,1.940,4393,4393,7.998,7.998,12.239,,8,8.0,8.0
1.9600,1.960,4456,4456,8.015,8.015,12.239,,8,8.0,8.0
1.9800,1.980,4519,4519,8.024,8.024,12.239,,8,8.0,8.0
2.0000,2.000,4581,4581,7.964,7.964,12.239,,8,8.0,8.0
2.2200,2.220,5271,5271,7.960,7.960,12.239,,8,8.0,8.0
2.2400,2.240,5334,5334,7.996,7.996,12.239,,8,8.0,8.0
2.2600,2.260,5397,5397,8.014,8.014,12.239,,8,8.0,8.0
2.2800,2.280,5460,5460,8.023,8.023,12.239,,8,8.0,8.0
2.3000,2.300,5523,5523,8.028,8.028,12.239,,8,8.0,8.0
2.3200,2.320,5585,5585,7.966,7.966,12.239,,8,8.0,8.0
2.3400,2.340,5648,5648,7.999,7.999,12.239,,8,8.0,8.0
2.3600,2.360,5711,5711,8.016,8.016,12.239,,8,8.0,8.0
2.3800,2.380,5773,5773,7.960,7.960,12.239,,8,8.0,8.0
2.4000,2.400,5836,5836,7.996,7.996,12.239,,8,8.0,8.0
2.4200,2.420,5899,5899,8.014,8.014,12.239,,8,8.0,8.0
2.4400,2.440,5962,5962,8.023,8.023,12.239,,8,8.0,8.0
2.4600,2.460,6024,6024,7.964,7.964,12.239,,8,8.0,8.0
2.4800,2.480,6087,6087,7.998,7.998,12.239,,8,8.0,8.0
