true_m,sensor,measured_m
0.200,tof,0.2176
0.200,tof,0.2147
0.200,tof,0.2221
0.200,tof,0.2176
0.200,tof,0.2250
0.200,tof,0.2219
0.200,tof,0.2184
0.200,tof,0.2194
0.200,tof,0.2267
0.200,tof,0.2224
0.200,tof,0.2261
0.200,tof,0.2226
0.200,tof,0.2203
0.200,tof,0.2162
0.200,tof,0.2229
0.200,tof,0.2232
0.200,tof,0.2200
0.200,tof,0.2182
0.200,tof,0.2160
0.200,tof,0.2176
0.200,tof,0.2206
0.200,tof,0.2178
0.200,tof,0.2135
0.200,tof,0.2211
0.200,tof,0.2232
0.200,tof,0.2206
0.200,tof,0.2233
0.200,tof,0.2258
0.200,tof,0.2169
0.200,tof,0.2222
0.200,tof,0.2208
0.200,tof,0.2187
0.200,tof,0.2220
0.200,tof,0.2244
0.200,tof,0.2233
0.200,tof,0.2216
0.200,tof,0.2232
0.200,tof,0.2208
0.200,tof,2.7850
0.200,tof,0.2206
0.200,tof,0.2166
0.200,tof,0.2177
0.200,tof,0.2224
0.200,tof,0.2197
0.200,tof,0.2240
0.200,tof,0.2174
0.200,tof,0.2211
0.200,tof,0.2180
0.200,tof,0.2246
0.200,tof,0.2268
0.200,tof,0.2142
0.200,tof,3.4290
0.200,tof,0.2261
0.200,tof,0.2202
0.200,tof,0.2139
0.200,tof,0.2186
0.200,tof,0.2202
0.200,tof,0.2160
0.200,tof,0.2168
0.200,tof,0.2247
0.200,tof,0.2243
0.200,tof,0.2178
0.200,tof,0.2242
0.200,tof,0.2181
0.200,tof,0.2185
0.200,tof,0.2214
0.200,tof,3.5055
0.200,tof,0.2139
0.200,tof,0.2225
0.200,tof,0.2138
0.200,tof,0.2181
0.200,tof,0.2192
0.200,tof,0.2237
0.200,tof,0.2182
0.200,tof,0.2139
0.200,tof,0.2235
0.200,tof,0.2170
0.200,tof,0.2197
0.200,tof,0.2175
0.200,tof,0.2171
0.200,tof,0.2188
0.200,tof,0.2160
0.200,tof,0.2201
0.200,tof,0.2167
0.200,tof,0.2246
0.200,tof,0.2212
0.200,tof,0.2129
0.200,tof,0.2228
0.200,tof,0.2196
0.200,tof,0.2192
0.200,tof,0.2173
0.200,tof,0.2182
0.200,tof,0.2125
0.200,tof,0.2155
0.200,tof,0.2166
0.200,tof,0.2236
0.200,tof,0.2204
0.200,tof,0.2205
0.200,tof,0.2133
0.200,tof,0.2241
0.200,tof,0.2225
0.200,tof,0.2253
0.200,tof,0.8567
0.200,tof,0.2229
0.200,tof,0.2225
0.200,tof,
0.200,tof,0.2216
0.200,tof,0.2180
0.200,tof,0.2210
0.200,tof,0.2221
0.200,tof,0.2211
0.200,tof,0.2187
0.200,tof,1.2576
0.200,tof,0.2178
0.200,tof,0.2206
0.200,tof,0.2186
0.200,tof,0.2216
0.200,tof,0.2240
0.200,tof,0.2203
0.200,tof,0.2243
0.200,tof,0.2179
0.200,tof,0.2210
0.200,tof,0.6364
0.200,tof,0.2237
0.200,tof,0.2262
0.200,tof,0.2167
0.200,tof,
0.200,tof,0.2229
0.200,tof,0.2193
0.200,tof,0.2119
0.200,tof,0.2186
0.200,tof,0.2237
0.200,tof,0.2164
